532720,-11.06,2.39,58.75,59.83,-50.7,21.7,283.8
532770,-8.97,2.84,59.80,60.54,-57.2,27.1,291.2
532820,-7.33,4.49,59.95,60.56,-56.1,24.7,290.1
532870,-9.42,5.23,59.35,60.32,-51.4,21.9,285.2
532920,-8.97,5.83,59.80,60.75,-52.2,20.9,284.5
532970,-8.97,9.27,59.05,60.44,-53.1,22.8,285.7
533020,-9.27,8.52,58.01,59.36,-51.3,16.9,278.9
533070,-10.91,11.66,57.11,59.30,-43.1,16.4,276.7
533120,-10.32,13.01,57.26,59.62,-37.9,5.9,264.6
533170,-13.31,17.64,55.91,60.12,-34.2,7.0,262.2
533220,-14.20,17.04,53.22,57.66,-30.9,0.4,251.7
533270,-15.10,20.63,54.42,60.12,-30.2,2.9,254.9
533320,-15.85,21.08,52.62,58.86,-23.7,-4.7,243.2
533370,-16.00,22.42,50.98,57.95,-25.9,-1.7,247.4
533420,-16.00,25.86,48.14,56.94,-17.0,-13.0,234.7
533470,-18.24,26.16,47.09,56.88,-20.3,-12.6,234.3
533520,-21.53,27.66,44.85,56.92,-11.5,-20.9,223.2
533570,-21.23,28.55,40.96,54.26,-12.7,-24.3,223.3
533620,-22.28,28.11,40.51,54.11,-7.4,-28.2,218.7
533670,-20.63,30.20,38.27,52.94,-5.8,-31.4,220.7
533720,-22.42,30.65,37.23,53.18,-6.4,-32.3,220.0
533770,-23.62,31.39,33.94,51.92,5.2,-37.0,217.5
533820,-23.02,30.05,32.29,49.76,-3.7,-37.1,219.1
533870,-21.23,31.84,30.20,48.75,14.7,-40.1,218.5
533920,-23.62,31.69,28.85,48.94,3.7,-41.6,220.3
533970,-22.42,31.69,26.31,46.90,15.8,-43.9,220.7
534020,-21.53,33.04,26.16,47.32,8.5,-46.0,223.7
534070,-23.02,32.74,24.82,47.09,25.4,-45.7,220.8
534120,-21.23,32.29,23.02,44.98,18.1,-49.0,224.7
534170,-21.68,33.64,20.63,45.02,27.1,-49.2,226.4
534220,-21.08,31.39,19.14,42.38,25.8,-51.2,227.0
534271,-21.38,31.39,18.09,42.07,28.6,-52.1,227.9
534321,-19.88,32.89,17.04,42.04,35.9,-55.0,230.2
534371,-18.99,31.84,15.40,40.14,44.8,-53.7,228.7
534421,-18.24,32.29,12.86,39.25,50.2,-55.1,231.7
534471,-18.09,29.75,11.21,36.58,53.9,-59.2,233.4
534521,-17.64,29.75,9.42,35.85,68.2,-57.8,229.4
