94801,-27.36,-30.80,13.31,43.29,-0.9,0.4,131.7
94851,-27.66,-32.14,13.45,44.49,-0.8,0.1,130.9
94901,-28.70,-30.95,12.71,44.08,-0.8,0.2,133.0
94951,-28.55,-32.29,14.65,45.53,-1.1,0.3,131.7
95001,-27.66,-32.44,14.20,44.93,-0.8,0.3,130.6
95051,-27.96,-31.69,14.50,44.68,-0.8,0.3,131.5
95101,-28.70,-30.20,13.45,43.78,-1.0,0.2,133.7
95151,-28.85,-32.74,14.20,45.89,-1.1,0.1,131.6
95201,-29.45,-32.14,12.71,45.41,-0.8,0.1,132.7
95251,-27.81,-30.80,12.56,43.35,-0.9,0.4,132.2
95301,-28.40,-32.89,15.55,46.16,-0.8,0.1,131.0
95351,-27.06,-32.29,13.31,44.18,-0.7,0.5,130.0
95401,-27.96,-32.44,13.01,44.76,-0.9,0.2,130.9
95451,-27.21,-32.14,14.80,44.64,-0.8,0.5,130.3
95501,-28.40,-31.69,14.20,44.87,-0.9,0.2,132.0
95551,-30.20,-32.14,13.01,45.98,-1.2,0.3,133.4
95601,-29.30,-32.29,14.65,46.00,-0.8,0.2,132.3
95651,-27.66,-31.39,14.20,44.18,-0.9,0.2,131.6
95701,-26.16,-32.14,13.45,43.57,-1.1,0.3,129.3
95751,-27.21,-31.69,13.01,43.75,-0.7,0.0,130.8
95801,-29.45,-32.44,14.20,46.06,-0.9,0.4,132.3
95851,-27.06,-32.29,12.86,44.05,-1.0,0.1,130.2
95901,-28.70,-32.44,13.75,45.45,-1.0,0.2,131.7
95951,-27.66,-32.44,13.75,44.79,-1.3,0.3,130.6
96001,-27.21,-31.69,13.01,43.75,-0.9,-0.0,130.8
96052,-27.21,-32.14,14.50,44.54,-0.6,0.4,130.3
96102,-29.15,-32.44,14.20,45.87,-0.9,0.3,132.1
96152,-26.76,-32.74,14.35,44.65,-1.0,0.4,129.4
96202,-28.55,-33.49,13.90,46.15,-1.1,0.3,130.6
96252,-28.55,-31.54,15.40,45.25,-0.8,0.4,132.2
96302,-28.40,-33.64,12.71,45.82,-0.9,0.2,130.3
96352,-28.40,-31.69,13.75,44.73,-0.7,0.3,132.0
96402,-26.01,-32.74,13.31,43.88,-1.2,0.4,128.6
96452,-26.91,-32.14,13.01,43.89,-0.9,0.2,130.1
96502,-28.11,-32.74,15.70,45.92,-0.9,0.3,130.8
96552,-27.81,-32.74,13.31,44.97,-0.9,0.0,130.5
96602,-27.21,-32.44,14.20,44.66,-1.0,0.1,130.2
96652,-27.81,-32.74,14.65,45.39,-0.9,0.3,130.5
96702,-28.55,-31.84,14.65,45.21,-1.0,-0.0,132.1
96752,-28.70,-31.39,14.20,44.85,-0.9,0.2,132.6
96802,-26.46,-32.14,12.71,43.53,-1.0,0.2,129.6
96852,-28.40,-31.39,13.75,44.52,-0.4,0.2,132.2
96902,-27.66,-31.69,16.30,45.11,-0.8,0.1,131.3
96952,-28.40,-30.20,14.20,43.82,-1.2,0.4,133.4
97002,-28.85,-32.74,14.35,45.94,-1.1,0.2,131.6
97052,-26.76,-31.84,14.35,44.00,-0.9,0.4,130.1
97102,-30.05,-31.54,13.31,45.55,-0.9,0.1,133.8
97152,-27.81,-31.54,14.35,44.43,-0.9,-0.3,131.7
97202,-28.11,-31.84,12.86,44.38,-1.1,0.4,131.6
97252,-28.85,-31.84,14.35,45.30,-1.0,0.3,132.4
97302,-29.30,-32.74,13.60,46.00,-0.8,0.2,131.9
97352,-28.85,-31.69,14.50,45.25,-1.1,0.2,132.5
97402,-27.96,-32.14,13.45,44.67,-0.8,0.3,131.1
97452,-28.70,-32.14,13.75,45.24,-1.1,0.4,131.9
97502,-28.40,-32.44,14.50,45.49,-0.9,0.4,131.3
97552,-28.55,-31.10,12.86,44.13,-1.1,0.2,132.7
97602,-27.06,-31.84,14.35,44.18,-1.0,0.2,130.5
97652,-28.70,-32.44,14.20,45.59,-0.8,0.3,131.6
97702,-27.81,-32.29,13.60,44.73,-1.1,0.6,130.8
97752,-27.81,-31.54,13.60,44.20,-1.0,0.3,131.5
97802,-28.85,-32.74,13.60,45.71,-0.9,0.4,131.5
97852,-28.11,-32.74,14.65,45.57,-1.1,0.4,130.8
97902,-27.81,-33.04,14.35,45.51,-1.2,0.2,130.3
97952,-29.30,-33.04,15.10,46.67,-1.1,0.3,131.7
98002,-29.45,-32.89,14.20,46.38,-1.2,0.4,132.0
98053,-28.70,-32.44,14.80,45.78,-0.9,0.6,131.6
98103,-27.36,-32.29,12.86,44.23,-0.9,0.2,130.4
98153,-28.55,-31.84,13.60,44.88,-0.9,0.2,132.0
98203,-27.36,-31.54,13.90,44.01,-1.2,0.4,131.1
98253,-29.45,-32.44,14.50,46.15,-1.1,0.4,132.4
98303,-28.55,-33.04,13.31,45.65,-1.0,0.6,130.9
98353,-28.85,-32.29,13.60,45.39,-1.0,0.4,131.9
98403,-28.55,-33.49,13.60,46.06,-0.9,0.2,130.6
98453,-30.05,-31.84,15.70,46.51,-1.1,0.3,133.5
98503,-29.30,-32.74,15.10,46.46,-0.8,0.3,131.9
98553,-28.11,-32.29,15.40,45.50,-1.2,0.3,131.2
98603,-28.11,-31.10,13.90,44.16,-1.0,0.3,132.3
98653,-27.66,-31.69,13.75,44.26,-1.0,0.4,131.2
98703,-30.05,-32.74,13.90,46.56,-1.0,0.6,132.6
98753,-27.21,-32.14,15.25,44.79,-1.0,0.7,130.3
98803,-29.30,-31.10,12.56,44.53,-1.0,0.5,133.4
98853,-27.21,-31.69,14.20,44.12,-1.2,0.4,130.8
98903,-26.91,-31.69,14.80,44.13,-0.9,0.5,130.4
98953,-27.36,-32.74,14.35,45.02,-1.2,0.1,130.1
99003,-28.55,-31.84,13.31,44.79,-1.1,0.4,132.0
99053,-29.30,-32.29,15.10,46.15,-0.7,0.4,132.3
99103,-27.06,-31.84,13.90,44.04,-1.3,0.0,130.6
99153,-29.15,-34.38,14.50,47.35,-0.8,0.2,130.4
99203,-26.91,-32.89,15.25,45.15,-1.1,0.2,129.5
99253,-27.06,-31.84,14.65,44.28,-0.8,0.6,130.4
99303,-28.40,-31.69,14.50,44.96,-1.0,0.3,132.0
99353,-27.36,-32.29,13.60,44.46,-1.2,0.2,130.5
99403,-27.81,-32.29,13.60,44.73,-1.1,0.2,130.9
99453,-28.85,-32.74,15.10,46.18,-1.0,1.3,131.3
99503,-28.55,-32.74,13.60,45.52,-0.9,0.0,131.3
99553,-27.66,-31.69,13.75,44.26,-1.0,0.1,131.3
99603,-29.75,-31.69,14.20,45.73,-1.1,0.3,133.4
99653,-27.81,-31.54,14.35,44.43,-0.9,0.2,131.6
99703,-29.45,-32.14,13.01,45.49,-0.6,0.6,132.5
99753,-29.30,-31.54,14.35,45.38,-1.0,0.3,133.1
99803,-27.21,-31.39,14.20,43.91,-0.6,0.3,131.0
99853,-29.60,-30.80,13.90,44.92,-0.8,0.1,134.0
99903,-26.76,-31.84,14.65,44.10,-0.7,0.5,130.1
99953,-28.70,-32.89,14.20,45.91,-0.9,0.1,131.3
100003,-27.96,-31.69,14.20,44.58,-1.1,0.1,131.6
100054,-28.40,-32.44,14.20,45.40,-0.7,0.6,131.2
100104,-27.06,-32.74,14.65,44.93,-0.8,0.2,129.7
100154,-27.21,-30.95,13.01,43.21,-1.1,0.5,131.4
100204,-28.70,-30.65,14.20,44.33,-0.9,0.3,133.3
100254,-28.55,-32.29,13.60,45.20,-1.2,0.4,131.7
100304,-27.36,-32.74,15.10,45.26,-0.8,0.1,130.0
100354,-28.55,-31.54,12.86,44.45,-0.6,0.4,132.2
100404,-28.40,-32.14,13.45,44.96,-1.0,0.3,131.6
100454,-27.21,-32.44,13.01,44.29,-1.0,0.2,130.1
100504,-27.81,-33.49,13.90,45.69,-1.1,0.4,129.9
100554,-27.21,-31.39,13.75,43.76,-0.7,0.1,131.0
100604,-28.85,-31.54,15.10,45.34,-0.8,0.3,132.6
100654,-29.60,-33.49,14.35,46.94,-0.9,-0.1,131.7
100704,-27.81,-31.84,12.86,44.19,-0.8,0.5,131.2
100754,-28.11,-33.49,14.65,46.11,-1.0,0.5,130.1
100804,-27.66,-33.64,12.71,45.36,-1.1,0.1,129.6
100854,-28.11,-33.49,13.31,45.70,-0.7,0.2,130.1
100904,-29.75,-32.44,14.20,46.25,-0.8,0.2,132.7
100954,-27.06,-31.84,15.40,44.53,-0.8,0.5,130.4
101004,-28.55,-32.29,13.90,45.29,-0.8,0.3,131.6
101054,-28.55,-33.49,13.90,46.15,-1.0,0.2,130.6
101104,-27.36,-31.54,14.65,44.25,-1.0,0.4,131.1
101154,-28.55,-33.49,14.65,46.38,-1.0,0.2,130.6
101204,-27.06,-31.10,15.10,43.90,-0.9,0.4,131.1
101254,-27.96,-30.95,13.75,43.91,-0.8,0.3,132.2
101304,-28.55,-33.49,13.31,45.98,-0.9,0.1,130.6
101354,-29.15,-31.69,14.20,45.34,-1.1,0.2,132.8
101404,-29.45,-31.69,13.75,45.40,-1.0,0.3,133.1
101454,-29.60,-32.29,14.35,46.10,-0.9,0.2,132.7
101504,-28.85,-32.29,15.40,45.96,-0.9,0.3,131.9
101554,-27.66,-32.14,13.45,44.49,-0.8,0.8,130.7
101604,-27.96,-33.94,14.50,46.30,-0.9,0.1,129.6
101654,-28.55,-33.04,14.35,45.97,-1.0,0.1,131.0
101704,-27.81,-31.84,13.60,44.41,-1.1,0.2,131.3
101754,-27.96,-30.95,14.50,44.15,-0.8,0.2,132.2
101804,-28.55,-31.84,12.86,44.66,-1.0,0.1,132.1
101854,-28.55,-32.29,15.40,45.77,-0.9,0.2,131.7
101904,-28.40,-33.94,14.20,46.48,-0.6,0.2,130.0
101954,-28.55,-32.29,16.15,46.03,-1.1,0.2,131.7
102004,-28.40,-32.44,15.25,45.74,-0.9,0.3,131.3
102055,-28.40,-32.89,13.45,45.49,-1.0,0.2,131.0
102105,-28.85,-33.49,12.86,46.04,-0.8,0.2,130.9
102155,-28.85,-33.49,13.60,46.25,-0.9,0.5,130.8
102205,-28.55,-33.04,14.65,46.06,-1.0,0.5,130.9
102255,-28.11,-31.84,13.90,44.69,-1.2,0.2,131.7
102305,-28.70,-31.69,15.25,45.40,-0.6,0.4,132.2
102355,-29.45,-33.19,14.20,46.59,-0.8,0.3,131.7
102405,-28.70,-32.89,14.50,46.00,-1.1,0.1,131.3
102455,-27.96,-32.44,13.75,44.98,-1.0,0.4,130.9
102505,-27.66,-32.44,14.20,44.93,-0.8,0.3,130.5
102555,-28.70,-31.39,16.00,45.45,-1.0,0.3,132.6
102605,-26.91,-30.20,14.80,43.07,-0.9,0.1,131.9
102655,-28.11,-33.04,15.40,46.03,-1.0,0.3,130.5
102705,-28.40,-31.39,14.20,44.66,-1.1,0.1,132.4
102755,-28.40,-32.44,13.45,45.17,-1.0,0.2,131.4
102805,-27.21,-32.44,15.25,45.00,-0.7,0.4,130.1
102855,-29.30,-31.84,13.90,45.45,-1.1,0.6,132.7
102905,-29.15,-30.20,13.45,44.08,-0.9,0.2,134.2
102955,-29.15,-33.19,13.45,46.18,-0.8,0.1,131.4
103005,-29.45,-33.64,15.25,47.24,-1.0,0.1,131.4
103055,-29.30,-32.74,13.31,45.91,-0.9,0.3,131.9
