1104,0.00024,-0.01514,1.00977,-0.00107,-0.00826,0.00559,12.41,-38.72,61.15
1105,-0.00146,-0.01465,1.01172,-0.00173,-0.01252,0.00373,13.31,-39.32,59.80
1106,-0.00659,-0.01782,1.01367,-0.00067,-0.01278,0.00479,13.31,-38.12,60.85
1107,-0.00464,-0.00049,1.01758,-0.00599,-0.00240,0.52078,-21.68,-33.94,60.55
1108,-0.00439,-0.01440,1.01660,-0.00706,-0.00373,0.39228,-23.17,-34.83,60.55
1109,-0.04102,0.00024,1.01782,-0.00759,0.00213,0.42184,-22.42,-34.83,60.85
1110,-0.00903,-0.01733,1.01392,0.00333,-0.00826,0.29268,-21.38,-35.13,61.29
1111,-0.01147,-0.01416,1.01245,-0.00293,-0.00439,0.41878,-21.38,-35.13,61.29
1112,-0.04175,0.01099,1.01733,-0.00133,-0.00985,0.50640,-22.28,-35.28,59.65
1113,-0.00659,-0.01367,1.01294,0.00479,-0.00067,0.44275,-23.02,-34.98,61.74
1114,0.00415,-0.02271,1.01660,0.00000,-0.00320,0.51612,-20.63,-36.33,59.80
1115,0.01465,-0.03198,1.01709,-0.00373,-0.00719,0.60294,-20.63,-36.33,59.80
1116,-0.00366,-0.00659,1.01514,-0.00200,0.00013,0.59961,-21.68,-35.88,62.34
1117,-0.01904,-0.00244,1.01343,-0.00652,0.00053,0.57032,-21.23,-35.73,60.70
1118,-0.00562,-0.00732,1.01831,0.00213,-0.00386,0.51106,-20.33,-35.13,59.05
1119,-0.01953,-0.00977,1.01147,-0.00706,-0.00439,0.40493,-18.99,-36.93,60.70
1120,0.00293,-0.01074,1.01465,-0.00479,0.00346,0.34381,-18.99,-36.93,60.70
1121,0.00439,-0.02539,1.01514,-0.00413,-0.00413,0.28829,-20.48,-36.93,59.65
1122,-0.00195,-0.01807,1.01611,-0.00266,-0.00200,0.28789,-20.33,-37.38,61.29
1123,0.01514,-0.02417,1.01636,0.00786,-0.00599,0.40706,-21.08,-36.33,61.59
1124,-0.00903,-0.01416,1.01953,0.00652,-0.00826,0.46832,-21.08,-36.33,61.59
1125,0.01611,-0.04199,1.01392,-0.00386,-0.01278,0.55846,-18.99,-36.48,61.15
1126,-0.02148,-0.01440,1.01440,0.00107,-0.01132,0.64089,-19.88,-35.88,60.55
1127,0.01001,-0.04639,1.01563,-0.01451,0.00146,0.72997,-19.58,-37.82,60.25
1128,-0.02222,0.02490,1.01563,-0.00506,-0.00213,0.69975,-19.58,-37.82,60.25
1129,-0.02026,0.00537,1.00854,-0.00320,-0.00293,0.65061,-19.58,-37.82,60.25
1130,-0.08887,0.03979,1.01221,-0.00320,-0.00280,0.49482,-19.58,-37.08,60.55
1131,-0.00781,-0.01270,1.01709,0.00053,-0.00985,0.43916,-18.09,-37.08,60.85
1132,-0.06250,0.02563,1.01514,-0.00639,0.00053,0.50866,-17.64,-37.82,60.55
1133,0.00269,-0.01855,1.01514,-0.00107,-0.00253,0.51652,-17.64,-37.82,60.55
1134,0.00562,-0.02148,1.01123,-0.00027,-0.00892,0.44435,-18.84,-37.82,60.55
1135,-0.01587,-0.00049,1.01880,-0.00133,-0.00146,0.57831,-17.64,-37.08,60.85
1136,0.01001,-0.01904,1.01587,-0.00506,-0.00666,0.67431,-18.09,-37.82,61.59
1137,-0.01074,-0.00659,1.01538,-0.00320,-0.00013,0.64395,-18.09,-37.82,61.59
1138,0.03906,-0.05200,1.01563,-0.00999,0.00027,0.53556,-17.34,-37.38,60.25
1139,0.01270,-0.02637,1.01563,-0.00866,-0.00120,0.56446,-17.34,-38.12,60.55
1140,-0.04639,0.01367,1.01099,-0.00772,-0.00226,0.46139,-16.30,-38.57,60.25
1141,0.02026,-0.01904,1.01416,-0.00293,-0.00759,0.42770,-17.64,-39.02,60.85
1142,-0.05908,0.01074,1.02051,0.00053,-0.00626,0.37990,-17.64,-39.02,60.85
1143,-0.03760,-0.00024,1.01245,0.00306,-0.00439,0.37444,-16.44,-38.42,61.44
1144,-0.01099,-0.00830,1.01221,0.00466,-0.00293,0.35180,-15.70,-38.42,60.70
1145,-0.01001,-0.01758,1.01465,0.00533,-0.00346,0.43796,-15.85,-38.57,62.04
1146,0.01782,-0.03369,1.01636,-0.00519,-0.00639,0.52850,-15.85,-38.57,62.04
1147,0.00684,-0.00879,1.01660,0.00613,-0.00413,0.58163,-16.44,-38.42,60.40
1148,0.04297,-0.04932,1.00977,0.00226,0.00040,0.62504,-14.05,-39.77,60.55
1149,0.02954,-0.02344,1.01489,0.00000,-0.00812,0.48150,-15.55,-39.32,59.80
1150,0.02856,-0.03076,1.01221,-0.00200,-0.00040,0.44142,-14.05,-39.02,60.85
1151,-0.01855,-0.00806,1.02002,-0.00679,-0.00253,0.40387,-14.05,-39.02,60.85
1152,0.00342,-0.01318,1.01294,-0.00253,-0.00226,0.28309,-14.05,-37.82,60.85
1153,-0.02930,0.00928,1.01611,0.00306,-0.00466,0.25766,-14.80,-38.12,61.29
1154,-0.00830,-0.00562,1.00928,0.00306,-0.00666,0.23303,-14.80,-39.02,60.85
1155,-0.02148,-0.00903,1.01489,0.00652,-0.00826,0.21225,-14.35,-39.32,61.59
1156,0.00146,-0.02759,1.01880,0.00293,-0.00320,0.17976,-14.35,-39.32,61.59
1157,0.01465,-0.03320,1.01709,0.00373,-0.01185,0.25114,-15.10,-37.82,62.04
1158,0.06128,-0.06128,1.01343,0.00546,-0.01092,0.29947,-14.65,-38.72,59.95
1159,-0.02441,0.00854,1.01660,-0.00226,-0.00293,0.40959,-13.60,-38.12,60.85
1160,0.02246,-0.02222,1.01318,0.00080,-0.00852,0.39654,-13.60,-38.12,60.85
1161,-0.08691,0.04321,1.01221,-0.00160,-0.00133,0.36286,-13.01,-39.77,61.29
1162,-0.05054,0.04224,1.01440,-0.00173,0.00213,0.29415,-15.10,-41.26,60.85
1163,0.04248,-0.03174,1.02148,-0.00160,-0.00293,0.40294,-14.20,-38.72,60.70
1164,-0.01392,-0.00439,1.02051,-0.00253,0.00107,0.55846,-13.16,-38.72,59.65
1165,-0.01709,0.00146,1.02173,-0.00439,-0.00160,0.54382,-13.16,-38.72,59.65
1166,-0.00317,-0.00659,1.01489,-0.00533,0.00040,0.56566,-13.60,-39.32,60.85
1167,-0.00513,-0.00098,1.01245,0.00240,-0.00240,0.57418,-14.05,-39.32,60.55
1168,-0.01831,-0.00586,1.01318,-0.00093,-0.00027,0.52664,-13.01,-39.02,60.85
1169,0.00488,-0.00659,1.01392,0.00133,-0.00173,0.44901,-13.01,-39.02,60.85
1170,-0.01221,-0.01270,1.01685,-0.00413,-0.00905,0.35034,-12.41,-39.92,60.40
1171,-0.03662,-0.01343,1.01343,-0.00759,-0.00573,0.25420,-12.71,-37.97,60.40
1172,-0.02344,-0.00830,1.01587,-0.00679,-0.00413,0.21598,-11.96,-40.22,62.49
1173,-0.01465,-0.00806,1.01367,-0.00200,-0.00852,0.19028,-12.41,-38.72,60.40
1174,-0.01367,-0.00952,1.01489,0.00373,-0.01212,0.10506,-12.41,-38.72,60.40
1175,0.00317,-0.00415,1.00610,0.04248,-0.01744,0.02357,-11.36,-39.92,61.15
1176,-0.00781,-0.01245,1.01343,-0.00839,-0.00466,0.02077,-12.56,-39.32,61.59
1177,0.00708,-0.00806,1.01196,0.00146,-0.00320,0.05007,-12.56,-40.07,61.59
1178,-0.01221,-0.00659,1.02051,-0.00506,-0.00320,0.06392,-12.56,-40.07,61.59
1179,-0.01270,-0.01123,1.01685,-0.00266,-0.00133,0.04900,-12.71,-39.17,61.15
1180,0.00024,-0.00732,1.00781,-0.00240,-0.00479,0.04661,-12.26,-39.77,59.80
1181,0.00269,-0.00928,1.00977,0.00067,-0.00799,0.09028,-13.01,-38.12,61.29
1182,-0.00952,-0.00195,1.01172,0.00333,-0.00879,0.16458,-10.17,-39.92,60.40
1183,-0.01782,-0.01001,1.01123,0.00426,-0.01358,0.13116,-10.17,-39.92,60.40
1184,-0.01343,-0.01025,1.01440,0.00679,-0.01305,0.16445,-13.16,-38.72,59.95
1185,-0.00171,-0.00806,1.01099,0.00879,-0.01518,0.22051,-12.71,-39.92,59.95
1186,-0.00684,-0.01465,1.01367,0.00280,-0.01092,0.24514,-11.81,-40.07,60.85
1187,0.00342,-0.00659,1.01392,0.00812,-0.00639,0.40826,-11.96,-39.47,60.40
1188,0.00342,-0.00439,1.01489,0.01092,-0.00892,0.37244,-11.96,-39.47,60.40
1189,0.00635,-0.00342,1.01440,0.00439,-0.00426,0.37537,-11.36,-41.11,59.35
1190,-0.01099,-0.00806,1.01367,0.00905,-0.00213,0.39575,-11.36,-39.92,60.70
1191,-0.03003,0.00073,1.01221,0.00386,-0.00373,0.30946,-12.41,-39.47,61.15
1192,-0.01782,-0.00708,1.01416,0.00692,-0.00892,0.20440,-12.41,-39.47,61.15
1193,-0.01099,-0.00952,1.01099,0.00120,-0.00439,0.15393,-11.06,-40.07,60.55
1194,-0.01074,-0.00952,1.01440,-0.00107,-0.00599,0.07310,-11.36,-40.22,61.44
1195,-0.00244,-0.01318,1.01538,0.00080,-0.00786,0.04541,-10.61,-39.92,60.40
1196,-0.00415,-0.01343,1.01685,0.00666,-0.01025,0.06272,-10.76,-38.12,59.80
1197,-0.00171,-0.01831,1.01538,0.00000,-0.00746,0.14128,-10.76,-38.12,59.80
1198,-0.01636,-0.01294,1.01514,-0.00133,-0.00546,0.21438,-11.81,-38.57,60.55
1199,-0.00928,-0.00195,1.01270,0.00213,-0.00413,0.18323,-10.32,-38.12,61.29
1200,-0.01025,-0.00659,1.01685,-0.00666,-0.00559,0.23063,-10.91,-40.22,59.95
1201,-0.01147,-0.01343,1.01611,-0.00839,-0.00439,0.27151,-10.91,-40.22,59.95
1202,-0.00293,-0.01685,1.01929,-0.00506,-0.00320,0.26592,-10.32,-39.02,60.25
1203,-0.00781,-0.01782,1.01563,-0.01252,0.00027,0.31692,-8.67,-39.92,60.40
1204,-0.01367,-0.00928,1.01270,-0.00160,-0.00320,0.22091,-11.36,-40.22,61.15
1205,-0.00684,-0.01221,1.01294,-0.00067,-0.00892,0.22570,-10.76,-40.07,60.55
1206,-0.00391,-0.01709,1.01294,-0.00213,-0.00972,0.20853,-10.76,-40.07,60.55
1207,-0.00537,-0.00415,1.02075,-0.00772,-0.01039,0.19561,-10.32,-39.32,60.25
1208,-0.00903,-0.01245,1.01685,-0.00360,-0.00599,0.13183,-9.12,-40.66,59.95
1209,-0.00049,-0.00635,1.01392,-0.00426,-0.00666,0.11944,-10.17,-40.22,61.15
1210,-0.00781,-0.01636,1.01660,-0.00719,-0.00413,0.13609,-10.17,-40.22,61.15
1211,0.00195,-0.02295,1.01758,-0.00293,-0.01305,0.15673,-10.76,-39.32,60.25
1212,-0.00293,-0.01318,1.01709,0.00320,-0.01012,0.12770,-10.76,-40.51,59.80
1213,-0.00903,-0.01733,1.01831,0.01358,-0.00959,0.25766,-10.61,-40.66,60.70
1214,-0.00830,-0.02295,1.01855,0.00999,-0.01012,0.27590,-7.92,-40.66,59.65
1215,-0.00293,-0.00781,1.01685,-0.00293,-0.00879,0.26419,-7.92,-40.66,59.65
1216,-0.00415,-0.00024,1.01440,-0.00586,-0.00972,0.16006,-9.87,-40.22,61.15
1217,-0.00488,-0.00562,1.01123,-0.00546,-0.00426,0.08682,-9.72,-41.26,60.85
1218,-0.00610,-0.00928,1.01001,-0.00772,-0.00652,0.03369,-9.72,-39.77,61.29
1219,-0.01367,-0.01172,1.01904,-0.00799,-0.00666,0.08296,-9.72,-40.51,59.05
1220,-0.00391,-0.01270,1.01074,-0.00173,-0.00040,0.16192,-9.72,-40.51,59.05
1221,-0.01025,-0.01440,1.01318,-0.00413,-0.00386,0.18016,-8.67,-39.92,60.40
1222,-0.00977,-0.02954,1.01221,0.00386,-0.00826,0.27377,-8.22,-41.26,60.85
1223,-0.01245,-0.01660,1.01392,0.00080,-0.01079,0.37790,-9.42,-40.66,61.44
1224,-0.00293,0.00757,1.01685,0.00226,-0.00679,0.41945,-9.42,-40.66,61.44
1225,-0.00317,-0.00879,1.01538,-0.00040,-0.00759,0.30453,-8.97,-40.81,60.85
1226,-0.01367,-0.00952,1.00684,0.00559,-0.00666,0.33503,-7.62,-40.22,61.44
1227,-0.00415,-0.01440,1.01660,0.00226,-0.00559,0.29601,-9.87,-40.22,60.40
1228,-0.01221,-0.02881,1.01294,0.00599,-0.00493,0.31772,-8.97,-39.77,60.85
1229,0.00000,-0.03467,1.02026,0.00866,-0.00479,0.38256,-8.97,-39.77,60.85
1230,-0.01172,-0.06616,1.01685,-0.00479,-0.00506,0.44142,-7.92,-41.41,61.15
1231,-0.01221,0.01636,1.01025,-0.00639,-0.00905,0.57551,-7.62,-41.41,62.94
1232,-0.00439,-0.01855,1.01611,-0.00373,0.00200,0.60041,-9.12,-39.92,60.70
1233,0.00146,-0.00928,1.01392,-0.00573,0.00173,0.60108,-9.12,-39.92,60.70
1234,-0.01221,0.00757,1.01489,-0.00226,-0.00306,0.58177,-6.58,-41.86,61.15
1235,-0.01563,-0.03613,1.01514,-0.00107,-0.00266,0.62757,-6.88,-40.66,60.40
1236,0.00244,-0.00366,1.01367,-0.00186,-0.00399,0.62531,-7.33,-41.11,60.70
1237,-0.00635,-0.01001,1.01245,0.00000,-0.00146,0.55474,-7.77,-41.26,59.50
1238,-0.01904,0.00366,1.00928,-0.00559,-0.00626,0.53050,-7.77,-41.26,59.50
1239,-0.00610,-0.01733,1.01172,0.00626,-0.00013,0.57032,-6.88,-39.92,59.95
1240,-0.00269,-0.01270,1.01294,-0.00506,-0.00599,0.62664,-4.93,-40.07,60.85
1241,0.61694,0.17041,1.33521,0.02197,-0.00546,0.68443,-5.98,-39.32,60.55
1242,-0.15771,-0.15137,1.02759,0.11318,-0.03182,-0.15500,-5.98,-40.81,61.29
1243,0.01172,0.03931,1.03931,-0.20906,0.04248,0.85408,-5.98,-40.81,61.29
1244,0.01025,-0.01733,1.02319,0.01132,-0.00719,0.91639,-6.13,-40.22,59.65
1245,0.00098,0.06763,1.00366,0.01944,0.00266,0.58523,-4.93,-40.81,60.55
1246,-0.00391,0.03296,1.01270,-0.03156,0.00639,0.36219,-4.93,-38.57,60.85
1247,-0.00244,-0.00610,1.02075,-0.06152,0.00546,0.29388,-4.93,-38.57,60.85
1248,0.00464,0.00464,1.01440,-0.03129,0.00027,0.08336,-4.49,-40.07,60.25
1249,-0.00293,-0.01196,1.01416,-0.02037,-0.00160,0.00626,-4.93,-42.01,60.85
1250,-0.00781,-0.01050,1.01392,-0.01411,-0.00213,0.00186,-4.19,-40.51,60.85
1251,-0.00732,-0.01416,1.01929,-0.00652,-0.00732,0.00706,-4.34,-40.66,60.70
1252,-0.01416,-0.02051,1.01343,0.00266,-0.00732,0.01784,-4.34,-40.66,60.70
1253,0.02881,-0.10889,1.01782,-0.00200,-0.01305,0.25300,-4.49,-40.81,61.29
